Z_SCORE	ID_STUDY	GENE_NAME
-0.08900000000000001	377	AFF4
-0.105	377	AFG3L2
-0.08	377	AFM
-0.181	377	AFMID
-0.097	377	AFP
-0.125	377	AFTPH
-0.113	377	AGA
-0.236	377	AGAP1
-0.14	377	AGAP2
-0.05	377	AGAP3
-0.005	377	AGAP5
-0.125	377	AGAP6
-0.265	377	AGBL1
-0.252	377	AGBL2
-0.14300000000000002	377	AGBL3
-0.223	377	AGBL4
-0.029	377	AGBL5
-0.277	377	AGER
-0.309	377	AGFG1
-0.249	377	AGFG2
-0.077	377	AGGF1
-0.182	377	AGK
-0.08199999999999999	377	AGL
-0.378	377	AGMAT
-0.068	377	AGPAT1
-0.276	377	AGPAT2
-0.048	377	AGPAT3
-0.201	377	AGPAT4
-0.078	377	AGPAT5
0.026	377	AGPAT6
-0.304	377	AGPAT9
-0.309	377	AGPHD1
-0.162	377	AGPS
-0.175	377	AGR2
-0.12	377	AGR3
-0.34	377	AGRN
-0.231	377	AGRP
-0.181	377	AGT
-0.152	377	AGTPBP1
-0.193	377	AGTR1
0.0	377	AGTR2
-0.268	377	AGTRAP
-0.32299999999999995	377	AGXT
-0.226	377	AGXT2
-0.16	377	AGXT2L1
-0.043	377	AGXT2L2
-0.101	377	AHCTF1
-0.127	377	AHCY
0.025	377	AHCYL1
-0.182	377	AHCYL2
-0.175	377	AHDC1
-0.189	377	AHI1
-0.276	377	AHNAK
-0.341	377	AHNAK2
-0.315	377	AHR
-0.254	377	AHRR
-0.132	377	AHSA1
-0.071	377	AHSA2
-0.369	377	AHSG
-0.238	377	AHSP
-0.472	377	AICDA
-0.129	377	AIDA
-0.253	377	AIF1
-0.413	377	AIF1L
-0.241	377	AIFM2
-0.317	377	AIFM3
-0.334	377	AIG1
-0.19	377	AIM1
-0.317	377	AIM1L
-0.192	377	AIM2
-0.14400000000000002	377	AIMP1
-0.172	377	AIMP2
-0.036000000000000004	377	AIP
-0.121	377	AIPL1
-0.233	377	AIRE
-0.14	377	AJAP1
-0.27	377	AK1
-0.336	377	AK2_ENST00000373449
-0.145	377	AK3
-0.336	377	AK5
-0.247	377	AK7
-0.067	377	AKAP1
-0.052000000000000005	377	AKAP10
-0.103	377	AKAP11
-0.271	377	AKAP12
-0.227	377	AKAP13
-0.455	377	AKAP14
-0.31	377	AKAP3
-0.201	377	AKAP4
-0.277	377	AKAP5
-0.322	377	AKAP6
-0.18	377	AKAP7
-0.118	377	AKAP8
-0.122	377	AKAP8L
-0.233	377	AKAP9
-0.182	377	AKD1
-0.121	377	AKIRIN1
-0.338	377	AKIRIN2
0.027000000000000003	377	AKNA
-0.299	377	AKNAD1
-0.187	377	AKR1A1
-0.151	377	AKR1B1
-0.111	377	AKR1B10
-0.278	377	AKR1B15_ENST00000423958
-0.213	377	AKR1C1
-0.2	377	AKR1C2
-0.19	377	AKR1C3
-0.389	377	AKR1C4
-0.392	377	AKR1CL1
-0.481	377	AKR1D1
-0.353	377	AKR1E2
-0.225	377	AKR7A2
-0.198	377	AKR7A3
-0.257	377	AKR7L
-0.14	377	AKT1
-0.075	377	AKT1S1
-0.112	377	AKT2
-0.35200000000000004	377	AKT3
-0.285	377	AKTIP
-0.219	377	AL512274_9
-0.172	377	ALAD_ENST00000409155
-0.18600000000000005	377	ALAS1
-0.406	377	ALAS2
-0.234	377	ALB
-0.266	377	ALCAM
-0.183	377	ALDH16A1
0.048	377	ALDH18A1
-0.275	377	ALDH1A1
-0.229	377	ALDH1A2
-0.292	377	ALDH1A3
-0.156	377	ALDH1B1
-0.345	377	ALDH1L1
-0.298	377	ALDH1L2
-0.252	377	ALDH2
-0.295	377	ALDH3A1
-0.233	377	ALDH3A2
-0.224	377	ALDH3B2
-0.2	377	ALDH4A1
-0.092	377	ALDH5A1
-0.084	377	ALDH6A1
-0.289	377	ALDH7A1_ENST00000447989
-0.312	377	ALDH8A1
-0.102	377	ALDH9A1
-0.116	377	ALDOA
-0.315	377	ALDOB
-0.312	377	ALDOC
-0.09	377	ALG1
-0.276	377	ALG11
-0.107	377	ALG12
-0.22	377	ALG14
-0.238	377	ALG1L
-0.068	377	ALG2
-0.046	377	ALG3
-0.205	377	ALG5
-0.053	377	ALG6
-0.111	377	ALG8
0.046	377	ALG9
-0.32	377	ALK
0.006999999999999999	377	ALKBH1
-0.08800000000000001	377	ALKBH2
-0.018000000000000002	377	ALKBH3
-0.211	377	ALKBH4
-0.198	377	ALKBH5
-0.048	377	ALKBH6
-0.292	377	ALKBH7
-0.046	377	ALKBH8
-0.154	377	ALLC
-0.231	377	ALOX12
-0.3	377	ALOX12B
-0.41	377	ALOX12P2
-0.391	377	ALOX15
-0.194	377	ALOX15B
-0.37	377	ALOX5
-0.3720000000000001	377	ALOX5AP
-0.518	377	ALOXE3
-0.11	377	ALPI
-0.045	377	ALPK1
-0.337	377	ALPK2
-0.245	377	ALPK3
-0.35100000000000003	377	ALPL
-0.22	377	ALPP
-0.139	377	ALPPL2
-0.269	377	ALS2
-0.368	377	ALS2CL
-0.25	377	ALS2CR11
-0.267	377	ALS2CR12
-0.119	377	ALS2CR8
-0.31	377	ALX1
